First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Ben,Randall,D,44,Waterdogs,10,1,1,1,1,0,0,5,0.2,4,0.8,2,0,1,0.5,6,13,21,93,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Matt,Whitcher,SSDM,33,Waterdogs,9,1,1,1,1,0,0,6,0.16,4,0.66,2,0,1,0.5,2,5,11,62,54,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1
Matthew,Dunn,D,33,Whipsnakes,10,1,1,1,1,0,0,5,0.2,4,0.8,3,0,3,1,6,5,11,83,72,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,2,1,0
Troy,Reh,LSM,10,Chaos,10,1,1,1,1,0,0,4,0.25,1,0.25,2,0,0,0,5,11,37,111,102,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Patrick,Resch,SSDM,34,Archers,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,25,22,0,0,1,1,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Graeme,Hossack,D,81,Archers,10,1,1,1,1,0,0,8,0.12,4,0.5,4,0,2,0.5,2,14,24,80,70,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
Scott,Smith,D,18,Chaos,6,1,1,1,1,0,0,10,0.1,6,0.6,5,0,2,0.4,0,6,8,33,23,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Gannon,Matthews,A,24,Player Pool,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Christian,Mazur,SSDM,85,Whipsnakes,10,1,1,1,1,0,0,5,0.2,2,0.4,1,0,0,0,1,4,13,69,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ajax,Zappitello,D,36,Whipsnakes,10,1,0,0,0,0,1,3,0,0,0,0,0,0,0,4,17,16,98,91,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Michael,Lampert,A,7,Waterdogs,3,1,0,0,0,0,1,3,0,2,0.66,0,0,0,0,4,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT,Giles-Harris,D,1,Outlaws,10,1,0,0,0,0,1,2,0,2,1,1,0,1,1,4,7,13,66,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jack,Posey,D,43,Chaos,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Rall,LSM,35,Cannons,10,1,1,1,1,0,0,7,0.14,5,0.71,3,0,1,0.33,3,13,23,41,31,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Liam,Entenmann,G,44,Atlas,10,1,0,0,0,0,1,4,0,0,0,4,0,0,0,4,1,22,183,175,0,0,0,0,11.86,152,0.55,61,0.4,120,6,0,0,0,0,5,0,0,0,0
Brendan,Lavelle,D,46,Archers,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,34,83,80,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Chris,Aslanian,M,3,Chaos,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,Smith,SSDM,39,Outlaws,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,6,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Fake,D,31,Redwoods,10,0,0,0,0,0,0,3,0,2,0.66,3,0,2,0.66,3,3,16,66,60,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Arden,Cohen,LSM,40,Redwoods,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,32,29,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
Jack,Kielty,D,40,Cannons,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,7,56,55,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dillon,Ward,G,37,Waterdogs,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,58,58,0,0,0,0,12.75,41,0.41,15,0.36,58,6,0,0,0,0,3,0,0,0,0
Zach,Goodrich,SSDM,14,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,49,47,0,0,7,7,0,0,0,0,0,0,0,5,2.5,0,0,0,0,0,0,0
Blaze,Riorden,G,0,Chaos,10,0,0,0,0,0,0,4,0,3,0.75,4,0,3,0.75,5,6,17,177,168,0,0,0,0,12.6,149,0.54,60,0.4,122,11,0,0,0,0,7,0,0,0,0
Jesse,Bernhardt,D,36,Outlaws,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,6,13,67,64,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Eric,Law,A,15,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Rowlett,D,99,Chaos,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,68,65,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Ryland,Rees,LSM,17,Redwoods,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg,Weyl,D,57,Outlaws,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,DeLuca,G,1,Waterdogs,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,71,0,0,0,0,12.54,71,0.5,24,0.33,69,9,0,0,0,0,3,0,0,0,0
Tim,Muller,D,14,Whipsnakes,10,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,0,3,18,70,68,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
