First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Marcus,Wertheim,M,13,Redwoods,1,0,0,0,0,0,0,5,0,3,0.6,0,0,0,0,0,0,1,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Carter,Rice,SSDM,3,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romar,Dennis,M,5,Redwoods,1,0,0,0,0,0,0,3,0,1,0.33,2,0,1,0.5,0,0,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Farrare,LSM,70,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Fake,D,31,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Conlin,D,20,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon,Ward,G,37,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,13,0,0,0,0,5,12,0.7,2,0.16,5,0,0,0,0,0,2,0,0,0,0
Mikie,Schlosser,M,59,Outlaws,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Piseno,LSM,88,Outlaws,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,McNaney,G,30,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,10,0,0,0,0,10,10,0.5,3,0.3,10,0,0,0,0,0,1,0,0,0,0
Kevin,Parnham,D,16,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Gray,SSDM,44,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Ben,Randall,D,77,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Zach,Geddes,SSDM,13,Outlaws,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,9,7,0,0,1,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Alexander,Smith,SSDM,39,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg,Weyl,D,57,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
